SMILES,Smiles_Solvent,Smiles_Merged,Predicted_LogS,Prediction_Status,Prediction_Error
CN(C)c1ccc(/C=C2\CCc3c(-c4ccccc4)cc(-c4ccccc4)[o+]c32)cc1,O,CN1(C)~O~c2(-c3ccccc3)cc(-c3ccccc3)c3c([o+]2)/C(=C/c2ccc1cc2)CC3,-9.313020706176758,ok,
CCN1/C(=C/C=C2\CC/C(=C\C=C3/Sc4ccccc4N3CC)C2=O)Sc2ccccc21,O,CCN1/C(=C/C=C2\CC/C3=C\C=C4/Sc5ccccc5N4(CC)~O~C23=O)Sc2ccccc21,-5.347860813140869,ok,
CCN(CC)c1ccc(C=CC=CC=Cc2cc[n+](CCC[N+](CC)(CC)CC)cc2)cc1,O,CCN1(CC)~O~c2cc(cc[n+]2CCC[N+](CC)(CC)CC)C=CC=CC=Cc2ccc1cc2,-5.326895713806152,ok,
O=C1NC(=S)S/C1=C/C=C/C=C/c1ccc([N+](=O)[O-])cc1,O,O=C1/C2=C\C=C\C=C\c3ccc([N+](=O)[O-])(~O~N1C(=S)S2)cc3,-4.864787578582764,ok,
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO[Si](C)(C)C(C)(C)C,O,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO1~O~[Si]1(C)(C)C(C)(C)C,-6.437535762786865,ok,
CCO/C=C1/CCCc2cc3c([o+]c21)/C(=C/OCC)CCC3,O,CCO/C=C1\CCCc2cc3c4[o+]c21~O~O(CC)/C=C\4CCC3,-6.651681423187256,ok,
CN(/C=C/C=C/C=C/C1=[N+](C)c2ccccc2C1(C)C)c1ccccc1,O,C[N+]1=C2/C=C/C=C/C=C/N(C)(c3ccccc3)~O~c13ccccc3C2(C)C,-6.0269036293029785,ok,
CC(C=CC1=C(C)C(=NO)CCC1(C)C)=CC=CC(C)=CC(=O)O,O,CC(C=CC1=C(C)C(=NO)CCC1(C)C)=CC=CC(C)=CC1(=O)~O~O1,-4.602097988128662,ok,
CN(/C=C/C=C1\CC/C(=C\C=C\N(C)c2ccccc2)C1=O)c1ccccc1,O,CN(/C=C/C=C1\CC/C2=C\C=C\N(C)(c3ccccc3)~O~C12=O)c1ccccc1,-5.023235321044922,ok,
CN(C)C=CC=CC=CC(=O)c1ccc(C(=O)C=CC=CC=CN(C)C)cc1,O,CN(C)C=CC=CC=CC(=O)c1ccc(C2(=O)~O~N(C)(C)C=CC=CC=C2)cc1,-4.742099761962891,ok,
CCN(CC)CC.CC[N+]1=C(/C=C/C=C/C=C/C=C2/N(CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,O,CCN(CC)CC.CC[N+]1=C2/C=C/C=C/C=C/C=C3/N(CCCCCC(=O)(ON4C(=O)CCC4=O)~O~[O-]S(=O)(=O)c4ccc1c(c4)C2(C)C)c1ccc(S(=O)(=O)O)cc1C3(C)C,-3.978844404220581,ok,
